URL,Size(Bytes),# of OutLinks,Content Type
nytimes.com/interactive/2024/08/11/upshot/las-vegas-hot-nights.html,310792,141,text/html
nytimes.com/article/best-tv-shows-netflix.html,538537,254,text/html
nytimes.com/2015/02/13/movies/review-what-we-do-in-the-shadows-a-vampire-comedy.html,286511,126,text/html
nytimes.com/2019/09/19/world/canada/justin-trudeau-brownface-image.html,387177,127,text/html
nytimes.com/2022/10/21/us/politics/steve-bannon-sentence-contempt-congress.html,313430,115,text/html
nytimes.com/2024/09/12/arts/music/michael-kiwanuka-small-changes.html,319550,127,text/html
nytimes.com/2023/01/03/world/europe/himars-rockets-us-ukraine-war.html,277075,116,text/html
nytimes.com/2024/09/26/us/tyre-nichols-death-prosecution.html,306839,113,text/html
nytimes.com/2024/05/14/world/middleeast/iran-director-rasoulof.html,289223,116,text/html
nytimes.com/2024/07/23/nyregion/fbi-raid-linda-sun.html,285454,111,text/html
nytimes.com/video/us/politics/100000007606996/capitol-riot-trump-supporters.html,1411935,54,text/html
nytimes.com/2022/11/23/us/politics/mike-pence-jan-6.html,315871,122,text/html
nytimes.com/2003/12/19/us/jackson-is-formally-charged-with-child-molesting.html,248558,102,text/html
nytimes.com/2024/05/08/movies/kingdom-of-the-planet-of-the-apes-review.html,387930,129,text/html
nytimes.com/2024/09/29/movies/aubrey-plaza-megalopolis-my-old-ass-agatha-all-along.html,351916,134,text/html
nytimes.com/2022/07/14/upshot/housing-shortage-us.html,382842,127,text/html
nytimes.com/article/israel-lebanon-invasion-map.html,928301,127,text/html
nytimes.com/2024/10/01/world/middleeast/lebanon-government-failure-israeli-strikes.html,350578,132,text/html
nytimes.com/2024/10/03/us/politics/vance-trumpism-analysis.html,339176,118,text/html
nytimes.com/2024/09/29/opinion/jd-vance-ohio-addiction-upbringing.html,298446,119,text/html
nytimes.com/2023/08/22/business/economy/ups-contract-vote-teamsters.html,281316,123,text/html
nytimes.com/interactive/2024/07/29/upshot/traffic-enforcement-dwindled.html,387655,217,text/html
nytimes.com/2020/07/31/books/review-caste-isabel-wilkerson-origins-of-our-discontents.html,320540,116,text/html
nytimes.com/2021/06/30/us/jan-6-capitol-attack-takeaways.html,420403,112,text/html
nytimes.com/2019/02/03/us/politics/northam-governor-virginia.html,337695,110,text/html
nytimes.com/2024/04/01/business/media/china-online-disinformation-us-election.html,380639,140,text/html
nytimes.com/2022/01/23/us/jan-6-attendees.html,331194,117,text/html
nytimes.com/2024/01/26/movies/sundance-film-festival-will-ferrell.html,310596,137,text/html
nytimes.com/2024/10/03/climate/the-climate-fix-solutions-for-a-warming-world.html,376000,130,text/html
nytimes.com/2024/04/17/us/politics/china-cyber-us-infrastructure.html,272704,112,text/html
nytimes.com/2024/09/23/nyregion/anthony-desposito-affair-congress.html,380707,120,text/html
nytimes.com/interactive/2024/10/02/us/politics/trump-trial-immunity-election-interference.html,373819,118,text/html
nytimes.com/interactive/2022/01/19/us/oath-keepers-capitol-riot.html,268725,116,text/html
nytimes.com/2018/01/03/upshot/zoning-housing-property-rights-nimby-us.html,292167,121,text/html
